date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:39	159214/159214	---M--	200	added ('OK')	image/png	etag:%2226dee-3eec48a55a000%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/l/hymn96.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/l/hymn96.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/l/parallel.htm)
17:06:39	391369/391369	---M--	200	added ('OK')	image/png	etag:%225f8c9-3eec48905ee80%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/l/hymn150.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/l/hymn150.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/l/parallel.htm)
17:06:41	190725/190725	---M--	200	added ('OK')	image/png	etag:%222e905-3eec4a61c3880%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/p1/hymn96.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/p1/hymn96.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/p1/parallel.htm)
17:06:41	449348/449348	---M--	200	added ('OK')	image/png	etag:%226db44-3eec4a22d2400%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/p1/hymn150.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/p1/hymn150.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/p1/parallel.htm)
17:06:42	183511/183511	---M--	200	added ('OK')	image/png	etag:%222ccd7-3eec4c1a5c800%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/sanm/hymn150.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/sanm/hymn150.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/sanm/parallel.htm)
17:06:42	80551/80551	---M--	200	added ('OK')	image/png	etag:%2213aa7-3eec4c4823400%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/sanm/hymn96.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/sanm/hymn96.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/sanm/parallel.htm)
17:06:45	171807/171807	---M--	200	added ('OK')	image/png	etag:%2229f1f-3eec1726d5a80%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/t1/hymn96.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/t1/hymn96.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/t1/parallel.htm)
17:06:45	384499/384499	---M--	200	added ('OK')	image/png	etag:%225ddf3-3eec16ef85800%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/t1/hymn150.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/t1/hymn150.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/t1/parallel.htm)
17:06:48	513832/513832	---M--	200	added ('OK')	image/png	etag:%227d728-3eec506e87e80%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/to/hymn150.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/to/hymn150.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/to/parallel.htm)
17:06:48	914500/914500	---M--	200	added ('OK')	image/png	etag:%22df444-3eec5090dcf80%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/to/page96.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/to/page96.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/to/facsimile.htm)
17:06:49	158384/158384	---M--	200	added ('OK')	image/png	etag:%2226ab0-3eec50a5d8100%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/to/hymn96.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/to/hymn96.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/to/parallel.htm)
17:06:49	3104550/3104550	---M--	200	added ('OK')	image/png	etag:%222f5f26-3eec5055bc400%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/to/page150.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/to/page150.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/to/facsimile.htm)
17:06:50	141336/141336	---M--	200	added ('OK')	image/png	etag:%2222818-3eec4f0f94280%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/tr1/hymn150-1.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/tr1/hymn150-1.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/tr1/parallel.htm)
17:06:50	61421/61421	---M--	200	added ('OK')	image/png	etag:%22efed-3eec4f6198400%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/tr1/hymn96-1.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/tr1/hymn96-1.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/tr1/parallel.htm)
17:06:51	114560/114560	---M--	200	added ('OK')	image/png	etag:%221bf80-3eec4f2a48180%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/tr1/hymn150-2.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/tr1/hymn150-2.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/tr1/parallel.htm)
17:06:52	51929/51929	---M--	200	added ('OK')	image/png	etag:%22cad9-3eec4f787ba00%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/tr1/hymn96-2.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/tr1/hymn96-2.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/tr1/parallel.htm)
